 ,[' ']
2013-02-06,"[""['Brown , 23 , remains on probation for the attack on Rihanna and is due back in court on February 6 to update a judge on his progress .']""]"
2013-03-22,"['[""League positions notwithstanding , optimism is probably higher at Pompey at present as the trust edges closer to securing a deal to take control of the club , whereas Coventry \'s situation is mired in confusion , with staff being told to vacate the Ricoh Arena on Friday after the owner Sisu put a non - operating subsidiary , CCFC Ltd , into administration on Thursday .""', 'League One â€¢\', ""The ridiculous weather made inroads into an already reduced Football League programme but the leaders Doncaster Rovers \' derby at Scunthorpe United survived the cut and Brian Flynn \'s side took advantage to go five points clear at the top with a 3 - 2 win .""', ""A David Mirfin own goal after five minutes gave the visitors a lead that was doubled six minutes before the break by Iain Hume .']""]"
2013-04-23,"[""['Chris Brown has been ordered to remain in jail until 23 April following his second ejection from an anger management programme in Malibu .']""]"
2013-05-03,"['[""Alas , we have n\'t time to discuss this particular form of internet celebrity slacktivism today ."", ""This usually takes the form of celebrity activism , the spectrum of which ranges from Bono - esque worthiness at one end to a quickfire tweet informing your followers of your commitment to calling out injustice on the other ( see Chris Brown \'s reaction to the deeply uncool events in Syria : # HoulaMassacre OMG ! ! ! ! !""]']"
2013-05-05,"[""['His sixth album , X , is scheduled to be released on 5 May .']""]"
2013-05-15,"['[\'Well , exciting news arrived in my inbox on Wednesday evening\', ""I know what you \'re thinking ."", ""We \'ve all been thinking it , but nobody has spoken out : we follow him on Twitter , on Facebook , on Instagram and YouTube , but there are simply too few opportunities to observe persistent pop clown Chris Brown making dizzyingly self - righteous pronouncements while gurning with his shirt off .""]']"
2013-05-21,"[""['According to a report on the gossip blog TMZ , the LA is looking into the claim that Brown refused to co - operate with the victim of a minor crash on 21 May .'"", ""Brown is accused of violating his probation on 21 May , when he got into a minor car crash .']""]"
2013-07-29,"[""['Although the incident dates from 29 July 2013 , Ausbon only filed his lawsuit last week , seeking unspecified damages for assault , battery , intentional infliction of emotional distress and negligence .']""]"
2013-08-09,"[""['Chris Brown collapsed on Friday morning , suffering a seizure while working at a Los Angeles recording studio .'"", 'Tabloids began reporting about the seizure on Friday afternoon , spurring fans to tweet "" # PrayForChrisBrown "" .\'', 'Brown \\\'s reps did n\\\'t confirm the incident until Friday night , using the opportunity to criticise the media \\\'s "" negative "" focus on the R&B star \\\'s 2009 assault of his then girlfriend , Rihanna . ""\']']"
2013-08-10,"['[\'"" They wo n\\\'t love u until u r a memory , "" Brown tweeted on Saturday .\']']"
2013-08-12,"['[\'The 24-year - old singer reportedly refused immediate treatment for the attack , which his doctor blamed on "" intense fatigue and extreme emotional stress "" .\']']"
2013-08-16,"[""['Later today , he is scheduled to appear at a hearing over allegations that he has violated his probation through several offences , including the falsification of community service hours .'"", ""Chris Brown has emerged unscathed from a hit - and - run case that threatened to see him jailed for four years .'"", 'A judge dismissed the last of the charges relating to a car crash in May , stating that Brown had come to a "" civil compromise "" with the victim .\'', ""Los Angeles superior court judge']""]"
2013-10-21,"[""['Brown and Hollosy were being held in police custody until Monday , DC police spokesman Paul Metcalf said .']""]"
2013-10-27,"['[\'Washington police said the two men were involved in an altercation with another man early on Sunday morning .\', ""Brown \'s publicists and attorney , Mark Geragos , did not immediately respond to messages left early Sunday .""', ""The singer Chris Brown and a man reported to be his bodyguard have been arrested and charged with felony assault .'"", ""The other man arrested and charged was named as Chris Hollosy , 35 .']""]"
2013-10-29,"[""['Brown revealed neither the name of the rehabilitation facility he entered on 29 October nor details of the treatment he would be receiving .']""]"
2013-11-20,"[""['Brown will next appear in court for a probation hearing on 20 November .'"", ""Less than a week after being expelled from an anger management centre in Malibu , the singer has been ordered by a court to seek immediate treatment at a three - month residential programme .'"", ""In addition to counselling at a court - approved facility , Brown has agreed to submit to regular drug tests .']""]"
2013-11-25,"['[\'Five days later , he will appear before a judge in connection with the assault case .\', ""In an agreement between prosecutors , Brown \'s lawyer and Los Angeles County superior court judge James Brandlin , the singer was also given permission to fly to Washington DC for an assault hearing next Monday .""]']"
2013-12-16,"[""['Judge Brandlin has asked a probation officer to monitor this assault case , filing a detailed report when Brown returns to court on 16 December .']""]"
2013-12-25,"['[""The Glovers \' post - Christmas charge up the table has been checked in recent weeks""]']"
2014-02-18,"[""['This article was amended on 18 February 2014 .']""]"
2014-02-28,"[""['He is due back in court on 28 February .'"", ""Brown tweeted on Friday .']""]"
2014-03-14,"[""['He was arrested on Friday and kept in jail over the weekend .']""]"
2014-03-17,"[""['In court yesterday , Brownâ€ ™ s attorney complained that Brownâ€ ™ s violations donâ€ ™ t warrant jail without bail .']""]"
2014-03-24,"[""['Too Long , a duet with Ariana Grande , will no longer come out on 24 March .']""]"
2014-04-17,"[""['Brownâ€ ™ s fate rests , in large part , on the outcome of a trial in Washington , DC , which is due to begin on 17 April .']""]"
2014-04-23,"[""['Regardless of the outcome of that case , Los Angeles county judge James Brandlin will rule separately , on 23 April , whether Brown must go to jail for violating his probation .']""]"
2014-05-05,"['[""Brown \'s sixth studio album , X , was scheduled to be released on 5 May .""]']"
2014-05-09,"['[\'"" We \\\'re gratified that he was not sentenced to state prison , gratified that he \\\'s still on probation , "" Brown \\\'s lawyer , Mark Geragos , told CNN on Friday .\', ""Despite Friday \'s decision , Brown is not actually finished with this assault case .""]']"
2014-05-11,"[""['As of Sunday night , it did not appear that Brown had been set free .']""]"
2014-05-12,"['[\'"" If he is n\\\'t out by Monday , then I would expect he \\\'s getting special treatment , "" he said .\'', ""Chris Brown has been sentenced to one year in jail in connection with a fight in Washington last autumn .'"", ""Having already served 234 days in rehab and custody , the R&B singer was ordered to remain behind bars for only 131 days more after admitting to having violated his probation .']""]"
2014-08-11,"[""['On Monday , adult film actress Christy Mack took to Twitter and posted pictures of herself bruised and battered â€ “ allegedly the result of a beating that she said she received from her ex - boyfriend , Jon Koppenhaver , a mixed martial arts fighter who goes by the name War Machine .']""]"
2014-08-14,"[""['This article was amended on 14 August 2014 to clarify that the Australian DJ used the word â€˜fearfulâ€ ™ in a different context than initially written .']""]"
2014-08-21,"[""['McClymont on Thursday tweeted â€œa formal apology to come re mistaken identityâ€ � .']""]"
2014-09-02,"[""['Chris Brown pleaded guilty on Tuesday to hitting a man outside a Washington hotel , an assault that occurred while the singer was on probation for attacking his then - girlfriend Rihanna .']""]"
2014-12-16,"[""['On 16 December , Judge Patricia Wynn sentenced Christopher Hollosy to 90 days in jail for his misdemeanour assault of Parker Adams outside Washingtonâ€ ™ s W Hotel .'"", ""Although bodyguard Christopher Hollosy was convicted of misdemeanour assault and Brown pleaded guilty to misdemeanour assault and was sentenced to time served , a Washington , DC , superior court has ruled that they will not have to serve any more time behind bars .']""]"
2015-05-05,"[""['Brown said that the woman had broken the hinges off the doors to his house while he was away , presumably in Las Vegas , where he spent his 26th birthday on Tuesday .']""]"
2015-08-23,"[""['On Sunday Wiz Khalifa was arrested after he refused to leave what he claimed was a â€œhoverboardâ€ � while at Los Angeles international airport , joining the long list of hip - hop and R&B artists who have converted to two - wheeled rather than two - legged transport .'"", ""Maybachs , Bentleys and BMWs might be the four - wheeled vehicles of choice for most hip - hop stars , but now contemporary rappers are ditching walking all together in favour of two - wheeled transport and , in some cases , hoverboards .'"", ""Justin Bieber was pictured rolling around on an IO Hawk ( theyâ€ ™ re described as â€œpersonal motorized transportersâ€ � by the company and donâ€ ™ t actually hover , unlike the Hendo hoverboard ) , as were Kylie Jenner , Chris Brown , Souljah Boy and Young Thug .']""]"
2015-09-21,"[""['Cash , who was appointed as the minister for women on Monday , intimated that Brown would be denied a visa for an upcoming tour of Australia on character grounds .'"", ""Tickets for the shows go on sale on Monday .']""]"
2015-09-25,"[""['The performer was issued with a formal notice that his visa application would be denied on Friday night , Dutton said .'"", ""In 1928 an American jazz outfit called Sonny Clayâ€ ™ s'"", ""Colored Idea â€ “ a troupe of African American singers , musicians and dancers â€'"", ""“ toured Australia .']""]"
2015-09-27,"[""['â€œChris Brown is not the point of this campaign , â€ � a senior campaigner for GetUp , Kelsey Cooke , told Sky News on Sunday .'"", ""Dutton on Sunday released a statement saying Brown , who was convicted of a 2009 assault on his then girlfriend , Rihanna , had to prove why he should be allowed into the country .'"", ""The US singer Chris Brown has had his visa application to tour in Australia formally denied on character grounds , the immigration minister , Peter Dutton , has confirmed .'"", ""Brown pleaded guilty to attacking his then girlfriend , the pop singer Rihanna , in 2009 .'"", ""Representatives for Chris Brown remain hopeful the R&B singer will be allowed to tour Australia , despite the immigration minister , Peter Dutton , saying the government intended to deny him a visa .'"", ""â€œI can confirm that a notice of intention to consider refusal has been issued , â€ � the statement said .']""]"
2015-09-29,"[""['This story was amended on 29 September to remove a reference to posts on social media attributed to Chris Brown .'"", ""In a series of comments posted on his official Twitter account on Tuesday , Brown argued that his â€œlife mistakes should be a wake up call for everyoneâ€ � and he should be allowed to proceed with his visit .'"", ""Last night , Karrueche Tran hosted an event at Dstrkt London , a club in the West End .'"", ""The American anti - abortion campaigner Troy Newman has been denied a visa to travel to Australia , just days after the government indicated it might block the American singer Chris Brown from touring the country .'"", ""Newman was due to speak on the topic â€œsave the babies down underâ€ � at events promoted by the group Right to Life Australia , but was branded an â€œanti - choice extremistâ€ � by the Labor MP Terri Butler , who said Newmanâ€ ™ s visa should be denied on character grounds .'"", ""The model , who rose to fame after dating the singer Chris Brown , is of mixed African American and Vietnamese heritage , which means she would probably pass the brown paper bag test .'"", ""At the same time , a group of people organised a peaceful protest to take place outside Dstrkt , who have said that they do not have a door policy that discriminates against black people .']""]"
2015-09-30,"[""['On Wednesday Dutton said the government was taking action .'"", ""On Wednesday Butler welcomed the ministerâ€ ™ s decision to block the visa and rejected claims Newman had been subjected to false accusations .'"", ""The American anti - abortion campaigner Troy Newman has been denied a visa to travel to Australia , just days after the government indicated it might block the American singer Chris Brown from touring the country .']""]"
2016-02-16,"[""['A report by International Alert and Unicef published today is the first to examine what happens next .'"", ""Nigeria makes headlines all too often these days â€ “ for the wrong reasons .'"", ""Indeed , for the past 18 months whenever I have been outside Nigeria , people always want to know :'"", ""â€œWhat happened to those girls?â€ �']""]"
2016-05-10,"[""['On 10 May , Bayram Mammadov and Giyas Ibrahim were arrested after they decided to mark Flowers Day , a national celebration , by graffiting a statue of former president Heydar Aliyev , Ilhamâ€ ™ s father , with the words â€œFuck the systemâ€ � and'"", ""Bill Shorten has said he accepts a recommendation to dump Laborâ€ ™ s candidate for Fremantle , unionist Chris Brown , because he was â€œnot forthcoming with the truthâ€ � about prior convictions .'"", ""According to the West Australian , Brown failed to disclose convictions from the 1980s , including pleading guilty to assaulting a police officer during an altercation and drink - driving .'"", ""The assault conviction was later expunged but Brown received a 12-month good behaviour bond , it said .']""]"
2016-05-11,"[""['Shorten said the party would make a decision on disendorsement today .'"", ""Bill Shorten has said he accepts a recommendation to dump Laborâ€ ™ s candidate for Fremantle , unionist Chris Brown , because he was â€œnot forthcoming with the truthâ€ � about prior convictions .'"", ""The assault conviction was later expunged but Brown received a 12-month good behaviour bond , it said .']""]"
2016-05-20,"[""['In a statement released on Friday , Sufi said he had resigned as a candidate and also from his position as head of the Liberal party of WAâ€ ™ s policy committee .'"", ""Sherry Sufi has resigned as Liberal candidate for the West Australian seat of Fremantle to stop his controversial comments from the past causing â€œfurther distraction from the good work being done by the prime ministerâ€ � .']""]"
2016-08-30,"[""['The R&B singer Chris Brown was arrested on suspicion of assault with a deadly weapon following an hours - long standoff on Tuesday at his Los Angeles home , police said .'"", ""Police had been called to Brownâ€ ™ s home at 3 am local time on Tuesday morning after a woman called police for assistance .'"", ""Calls to representatives for Brown were not immediately returned on Tuesday .'"", ""The woman told the Los Angeles Times that Brown had pointed a gun at her before she ran away , and that later one of his associates asked her to sign a nondisclosure agreement .']""]"
2017-01-05,"[""['The fight became a reality on Thursday , when Mayweather â€ “ who is now a boxing promoter'"", ""Floyd Mayweather , who was undefeated in his 49 fights , winning world titles at super featherweight , lightweight , light welterweight , welterweight and light middleweight , is to train Soulja Boy for a three - round bout with Brown , to take place in Las Vegas in March .']""]"
