time,Sentences
2011-10-05,"[""The clip , already aired in last week 's opening statements , was played in full on Wednesday at the trial in Los Angeles ."", 'Dr Conrad Murray is charged with the involuntary manslaughter of Jackson A recording of Michael Jackson bemoaning his unhappy childhood has been played to the trial of the doctor charged with his death .']"
2011-10-06,"['6 October 2011', 'Michael Jackson concert :', ""Final preparations in Cardiff Michael Jackson died aged 50 in June 2009 , while rehearsing for his This Is It tour Final preparations are under way for Saturday 's stadium concert in Cardiff in memory of Michael Jackson ."", 'Christina Aguilera , Cee Lo Green and Smokey Robinson will perform at the Millennium Stadium , as well as Leona Lewis and JLS .', 'Although 10,000 tickets remained for the show at the Millennium Stadium they were confident of an eventual sell-out .', 'Christina Aguilera , Cee Lo Green and Smokey Robinson are among performers , while Beyonce will sing via video link .', ""Jurors in the trial of Michael Jackson 's doctor have for the first time heard audio of Dr Conrad Murray being questioned by police two days after the pop star 's death ."", ""In the recording , Dr Murray describes how he gave Jackson the anesthetic propofol after singer 's insomnia did not respond to other drugs ."", 'Dr Murray is charged with involuntary manslaughter .']"
2011-10-08,"['Katherine Jackson says the show will take place at the Millennium Stadium in Cardiff on 8 October .', ""The gig takes place at Cardiff 's Millennium Stadium on 8 October ."", 'Organisers of the gig have reiterated that tickets for the concert , which takes place on 8 October , will go on sale to the general public on Wednesday at 9am .', ""The Michael Forever concert takes place at Cardiff 's Millennium Stadium on 8 October ."", ""Michael Forever , a show supported by Michael 's mother Katherine , is to take place in Cardiff on 8 October ."", ""The Michael Forever concert will take place at Cardiff 's Millennium Stadium on 8 October ."", 'Promoters said the US group will perform at the Michael Forever tribute on 8 October .', 'The Black Eyed Peas , Christina Aguilera , Beyonce and Cee Lo Green will perform at the concert at the Millennium Stadium on Saturday .', ""Saturday 's tribute concert will raise money for three charities including the Los Angeles-based Aids Project ."", ""Saturday 's tribute concert , which will be broadcast around the world , with profits raising money for three charities including the Los Angeles-based Aids Project and the Prince 's Trust ."", ""Chris Hunt , head of organisers Global Events Live , said : `` I 'm excited about tomorrow 's event , especially with ticket sales going so well . ''"", ""Doors will open at 4pm tomorrow for what will be a fantastic evening , '' he said ."", 'Jackson complained that he needed to sleep , as he had rehearsals for his comeback tour early the next morning .', '8 October 2011 Dr Murray reveals in a recorded interview with police that , on the night of 25 June , he injected Jackson with several sedatives but the pop star remained wide awake .']"
2011-10-11,"['On Tuesday his brothers Marlon , Tito and Jackie Jackson , who will be taking part in the concert with their sister La Toya , defended the decision to hold the event while the trial of his doctor is under way in the US .', 'On Tuesday , Dr Christopher Rogers said it was more likely', ""Michael Jackson did not cause own death , says doctor Dr Christopher Rogers : `` It 's reasonable to believe that the doctor had an imperfect control over the dose ''"", ""Dr Christopher Rogers said it was more likely Jackson 's personal physician Conrad Murray mistakenly gave him too much of the drug propofol to try to help him sleep ."", 'Conrad Murray drops claim Jackson swallowed propofol Dr Murray say he was trying to wean Michael Jackson off using propofol for his insomnia Lawyers for Dr Conrad Murray have stepped back from claims that Michael Jackson swallowed a fatal dose of propofol when he was out of sight .', ""The claim had been a key argument in Dr Murray 's defense at the trial over the superstar 's death ."", ""Help The legal team representing Michael Jackson 's personal doctor has dropped its claim that the pop star swallowed a fatal dose of the anesthetic Propofol while the medic was not looking .""]"
2011-10-12,"[""12 October 2011 Dr Murray 's defense backs out of claims Jackson swallowed a fatal dose of propofol when he was alone ."", 'Conrad Murray drops claim Jackson swallowed propofol Dr Murray say he was trying to wean Michael Jackson off using propofol for his insomnia Lawyers for Dr Conrad Murray have stepped back from claims that Michael Jackson swallowed a fatal dose of propofol when he was out of sight .', 'They may still argue he injected the dose himself .', ""Help The legal team representing Michael Jackson 's personal doctor has dropped its claim that the pop star swallowed a fatal dose of the anesthetic Propofol while the medic was not looking .""]"
2011-10-13,"['13 October 2011 Jackson fans continue to line up against the courtroom wall from 7:30 am in the hope of winning a draw for one of the few seats in the public gallery .', ""Every day is a lottery at the trial of Conrad Murray , Michael Jackson 's doctor , who stands accused of killing perhaps the world 's most famous singer ."", 'Jackson fans line up against the courtroom wall at 07:30 every morning in the hope of winning a draw for one of the few seats in the public gallery .', 'Like millions of others across America and the world they could watch it on the internet or on TV , but there is obviously something more to be gained from being there in person , sitting just a few feet from the lawyers , the family and the accused .']"
2011-10-18,"['Ms Lee , who has spoken publicly about Jackson requesting propofol from her , is expected to tell jurors about further exchanges with the late singer when she continues testifying on Tuesday .', ""Conrad Murray ` responsible ' for Michael Jackson 's death Dr Steven Shafer : '' ` Yes ' is not what a doctor says to a patient request that is not in their best interest . ''"", ""Michael Jackson 's doctor made 17 flagrant violations when administering propofol to the star , an expert on the potent anesthetic has told the court ."", ""Dr Steven Shafer said the drug should never be used to treat insomnia and Dr Conrad Murray 's negligence was directly responsible for Jackson 's death .""]"
2011-10-20,"[""Dr Shafer is expected to be the prosecution 's final witness , and his testimony will continue on Thursday ."", ""Dr Christopher Rogers : `` It 's reasonable to believe that the doctor had an imperfect control over the dose '' 20 October 2011 The prosecution 's final witness , propofol expert Dr Steven Shafer , tells the court that Dr Murray made 17 flagrant violations when administering the drug to Jackson .""]"
2011-10-21,"['He is the last witness for the defense and is expected to continue testifying on Friday , including giving an alternate theory about how Jackson died .']"
2011-10-24,"['Correspondents say that with multiple witnesses already called on Monday , the case could go to the jury as early as the end of this week .', ""Detective Orlando Martinez was one of the first defense witnesses called Lawyers defending Conrad Murray , Michael Jackson 's doctor , have called their first witnesses ."", 'They will have to counter four weeks of testimony from prosecution witnesses , who alleged that Dr Murray acted unethically and with gross negligence Dr Murray is charged with involuntary manslaughter in a Los Angeles court .', 'Among the first witnesses were a doctor and a nurse practitioner , who had both previously treated or counselled Jackson .']"
2011-10-25,"[""Michael Jackson ` warned about propofol use ' Cherilyn Lee fought back tears as she gave her testimony on Tuesday Singer Michael Jackson was warned by a nurse practitioner about using the sedative propofol to help him sleep , a Los Angeles court has heard ."", ""Ms Lee was testifying on Tuesday at the involuntary manslaughter trial of the singer 's physician , Dr Conrad Murray ."", 'Cherilyn Lee said Jackson told her that Diprivan - a brand name for propofol - was the only thing that would knock him out and induce the sleep he needed .']"
2011-10-26,"['26 October 2011', 'Cherilyn Lee said Jackson told her that Diprivan - a brand name for propofol - was the only thing that would knock him out and induce the sleep he needed .', ""Conrad Murray trial : Jackson ` addicted to Demerol ' Dr Robert Waldman : ``"", ""I believe there is evidence that he was dependent upon Demerol . ''"", 'Dr Murray has pleaded not guilty to involuntary manslaughter .']"
2011-10-27,"['Dr White told the court on Thursday he said he would not have expected the pop superstar to be killed from the drugs which Dr Murray said he had given to the singer .', '27 October 2011 Dr Murray weeps in court as former patients praise his medical skills and describe him as kind and generous .', ""Conrad Murray trial : Jackson ` addicted to Demerol ' Dr Robert Waldman : ``"", 'Dr Murray has pleaded not guilty to involuntary manslaughter .']"
2011-10-28,['28 October 2011']
2011-10-31,"[""Conrad Murray decides not to give evidence Defense lawyers for Dr Conrad Murray say they will call no further witnesses Dr Conrad Murray has told a judge he will not testify in his own defense in the trial over Michael Jackson 's death .""]"
2011-11-01,"['On Tuesday , the prosecution called their own propofol expert , Dr Steven Shafer , as a rebuttal witness to counter arguments put forth by Dr White .', 'Dr Murray looked sombre as the verdict was read out in court 1 November 2011 Dr Murray tells Judge Michael Pastor he will not testify in his own defense .', ""Conrad Murray decides not to give evidence Defense lawyers for Dr Conrad Murray say they will call no further witnesses Dr Conrad Murray has told a judge he will not testify in his own defense in the trial over Michael Jackson 's death ."", 'He denies involuntary manslaughter but could face a prison term and the loss of his medical licence if convicted .', ""Dr Murray told trial Judge Michael Pastor he had made his decision `` freely and explicitly '' , reports said .""]"
2011-11-03,"[""During closing statements on Thursday , the prosecution said the world had lost a `` genius '' , while the defense characterised Murray as `` a little fish in a big dirty pond '' ."", 'Dr Conrad Murray was hired by Jackson after becoming friends in 2006 When Michael Jackson died on 25 June 2009 , Dr Conrad Murray was at the hospital for the pop superstar , who had hired him as his personal physician and considered him a friend .', ""Prosecutors ended their case by saying Dr Conrad Murray 's care of Jackson had been `` bizarre '' , while the defense said the singer had caused his own death .""]"
2011-11-04,"['Dr Conrad Murray chose not to testify in his own defense There was no sign of Dr Murray on Friday or his legal team , but they are to receive a two-hour notice once a verdict is reached .', 'Dr Conrad Murray was hired by Jackson after becoming friends in 2006 When Michael Jackson died on 25 June 2009 , Dr Conrad Murray was at the hospital for the pop superstar , who had hired him as his personal physician and considered him a friend .', 'Raised by his grandparents in Grenada in poverty , Dr Murray worked his way up to become a successful cardiologist in the US .', 'Conrad Murray jury to return after weekend', ""Prosecutors ended their case by saying Dr Conrad Murray 's care of Jackson had been `` bizarre '' , while the defense said the singer had caused his own death .""]"
2011-11-05,"[""On last weekend 's Saturday night show , viewers saw Cocozza out drinking with friends , which may have breached rules on glamorising alcohol .""]"
2011-11-07,"['The panel will resume considering the involuntary manslaughter charge against Dr Conrad Murray on Monday .', ""7 November 2011 Last updated at 21:40 GMT Help Michael Jackson 's former personal doctor has been found guilty of involuntary manslaughter by a jury in Los Angeles ."", 'Fans waited nervously outside the courtroom on the day of the verdict on 7 November , many of them holding signs calling for justice for the legendary singer .', 'The decision , at around 1pm local time , sparked cheering and emotional scenes among many supporters .', 'Dr Murray did not give evidence during his six-week trial , which ended on Monday when a jury ruled he had given Jackson a fatal overdose of propofol .', 'He said he had sat with Jackson , checking his vital signs until he believed the effects of the sedative had worn off , before moving to an adjacent room at 11:20 am .', '7 November 2011 Dr Conrad Murray is found guilty of involuntary manslaughter after nine hours of jury deliberations .', ""Dr Conrad Murray was at Jackson 's home when the pop star died , sloppily administering medicine that should only have been administered in a hospital ."", 'By David Willis BBC News , Los Angeles Michael Jackson died in June 2009 Michael Jackson was in good spirits .', ""Dr Conrad Murray , 58 was charged with causing the pop star 's death , attributed to a fatal overdose of the sedative propofol , in June 2009 , but had denied any wrongdoing ."", 'During the six-week trial , 49 witnesses and more than 300 pieces of evidence were presented .', ""GMT Help Michael Jackson 's former doctor is facing a prison sentence of up to four years , for causing the singer 's death ."", 'A jury in Los Angeles found Conrad Murray guilty of involuntary manslaughter for giving the pop star a dose of the powerful anesthetic , Propofol , which killed him in 2009 .', 'Dr Conrad Murray was with the superstar on the night he died from an overdose of a sleeping drug , in June 2009 .', ""Dr Murray said Michael took the medicine himself , but the jury decided that he 'd given the singer the dangerous dose that killed him ."", 'During the trial they were shown images of the singer lying dead in a hospital and rehearsing the day before his death .', 'The prosecution team claimed Conrad Murray was an incompetent physician who used an anesthetic called Propofol without the proper safeguards .', ""The trial of Michael Jackson 's doctor , Conrad Murray , took place on the ninth floor of the superior court of Los Angeles ."", 'It came from the jury room and was the signal to say they had reached their verdict .', 'Help', 'The family of Michael Jackson left court following the conviction of Conrad Murray for involuntary manslaughter amid jubilant scenes .', 'This live page is part of a BBC News trial to test new ways of presenting breaking news .', 'Steve chats to national treasure Trevor McDonald and self-help expert Paul McKenna .', 'Jeremy discusses the consequences of tougher border controls , Conrad Murray in the Michael Jackson trial , how to safely use a ladder and ` The Songs']"
2011-11-08,"[""Silvio Berlusconi is facing a crucial vote on budget reforms in the Italian Parliament today as the country 's borrowing costs rocketed ."", ""8 November 2011 Last updated at 06:28 Michael Jackson 's doctor , Conrad Murray , found guilty Michael Jackson 's doctor has been found guilty of causing the singer 's death ."", ""Page last updated at 08:14 GMT , Tuesday , 8 November 2011 Propofol is a fast-acting hospital sedative used before anaesthetics Michael Jackson 's physician , Doctor Conrad Murray , has been found guilty of involuntary manslaughter by a jury in Los Angeles ."", 'Page last updated at 07:48 GMT , Tuesday , 8 November 2011', 'Page last updated at 06:56 GMT , Tuesday , 8 November 2011 Newsbeat US reporter in Los Angeles', 'It had just gone 11am on the ninth floor of the courthouse in downtown Los Angeles when the three buzzes were heard .', ""Let 's recap on the events in the country so far today : Prime Minister Silvio Berlusconi 's key coalition partner , Northern League leader Umberto Bossi , has urged him to step aside ahead of a crucial budget vote ."", 'Italian Prime Minister Silvio Berlusconi is facing a critical vote as investors grow increasingly wary of lending money to the country .', ""GMT Help Michael Jackson 's former doctor is facing a prison sentence of up to four years , for causing the singer 's death ."", 'A jury in Los Angeles found Conrad Murray guilty of involuntary manslaughter for giving the pop star a dose of the powerful anesthetic , Propofol , which killed him in 2009 .', ""Dr Murray said Michael took the medicine himself , but the jury decided that he 'd given the singer the dangerous dose that killed him ."", 'The prosecution team claimed Conrad Murray was an incompetent physician who used an anesthetic called Propofol without the proper safeguards .', ""The trial of Michael Jackson 's doctor , Conrad Murray , took place on the ninth floor of the superior court of Los Angeles ."", 'The family of Michael Jackson left court following the conviction of Conrad Murray for involuntary manslaughter amid jubilant scenes .', 'Calls mount for Italian PM Silvio Berlusconi to resign as he wins a budget vote but appears to lose his parliamentary majority .', 'Jeremy discusses the consequences of tougher border controls , Conrad Murray in the Michael Jackson trial , how to safely use a ladder and ` The Songs', ""My Son Loved ' ."", ""The singer 's personal physician Dr Conrad Murray has been convicted of involuntary manslaughter and faces a possible four years in jail .""]"
2011-11-09,"[""9 November 2011 Last updated at 10:48 GMT Help The family of Michael Jackson say they want to know more about the circumstances surrounding the pop star 's death ."", 'But Jermaine Jackson says there are still unanswered questions which the family will pursue in civil court actions .']"
2011-11-10,"['Who Killed Michael Jackson , which aired on Thursday night Dr Conrad Murray , who was convicted of the involuntary manslaughter of Michael Jackson , has defended his actions in a television interview .', 'The most-watched programs in the UK last night were EastEnders , with 8.4 million viewers and Coronation Street , which was seen by 8.1 million .', 'Michael Jackson doctor Conrad Murray gives TV interview Dr Murray was speaking to Steve Hewlett for a Channel 4 documentary , The Man', ""Ricky Gervais comedy Life 's Too Short gets 2.5 m viewers"", ""Life 's Too Short is presented as a faux-documentary , in the vein of The Office and Extras Life 's Too Short , the new comedy by Ricky Gervais and Stephen Merchant , attracted 2.5 million viewers for its BBC""]"
2011-11-11,"[""The prosecution said Murray had caused Jackson 's death through negligence His comments echoed a similar interview given to the US breakfast television show Today earlier this week ."", ""Murray told Today 's Savannah Guthrie he had not been distracted by phone calls , emails and text messages ."", ""Asked if he was right to leave Jackson alone , he replied : `` Had I known what I know today in retrospect , that Mr Jackson was an addict - and he had shared that information with me - addicts may behave in a way that is unreasonable and you may consider it . ''"", 'Michael Jackson doctor Conrad Murray gives TV interview Dr Murray was speaking to Steve Hewlett for a Channel 4 documentary , The Man', ""Speaking to Channel 4 , he maintained he had been trying to wean Jackson off propofol before the star 's death ."", ""Ricky Gervais comedy Life 's Too Short gets 2.5 m viewers"", ""Life 's Too Short is presented as a faux-documentary , in the vein of The Office and Extras Life 's Too Short , the new comedy by Ricky Gervais and Stephen Merchant , attracted 2.5 million viewers for its BBC""]"
2011-11-29,"['Many of them will be back in a few weeks on 29 November when Conrad Murray is sentenced .', ""Michael Jackson doctor gets four years in prison Michael Jackson 's former doctor , Conrad Murray , has been sentenced to four years in prison for causing the King of Pop 's death .""]"
2011-11-30,"[""`` If it was anybody else , would this doctor be here today ? ''"", 'Dr Conrad Murray : Trial timeline Dr Murray was raised on the Caribbean island of Grenada by his maternal grandparents', '-LRB-', 'photo :']"
